Drug,Mean,Median,StandardDev,Maximum,Minimum
Lucentis,71.08972672135616,73.20625,12.353235128503012,92.2,35.0
Eylea,78.2,78.2,0.0,78.2,78.2
Multiple,71.39774139769035,76.32222222222222,12.480044148607183,89.58823529411765,36.72727272727273
