Type,Mean,Median,Min,Max,MeanTime,MedianTime,MinTime,MaxTime
Extension,3.0319148936170213,3.0,2,11,37.48024316109422,25.07142857142857,3.857142857142857,167.14285714285714
Reduction,3.148936170212766,3.0,2,8,40.981762917933125,30.57142857142857,4.0,153.0
