Year,MeanInt,StdInt,ModeInt,MinInt,MaxInt,#Injs
Year1,5.60655737704918,6.472727765319596,4,0,47,9.27
Year2,9.974943052391799,13.970577965387188,4,0,88,5.21
>Year3,8.172043010752688,13.342614413466409,4,0,192,6.36
