Type,Mean,Median,Min,Max,MeanTime,MedianTime,MinTime,MaxTime
Extension,2.8421052631578947,3.0,2,4,20.37593984962406,13.714285714285714,7.285714285714286,58.0
Reduction,5.421052631578948,5.0,4,11,31.969924812030076,21.571428571428573,14.428571428571429,75.0
