Drug,Mean,Median,StandardDev,Maximum,Minimum
aVGF,,,,90.4,16.4375
Steroid,,,,88.5,18.38235294117647
Both,70.63245497516775,74.29268292682927,15.521030373390913,88.34285714285714,22.307692307692307
