Type,Mean,Median,Min,Max,MeanTime,MedianTime,MinTime,MaxTime
Extension,3.2222222222222223,3.0,2,10,36.073015873015876,21.0,7.571428571428571,258.0
Reduction,3.2857142857142856,3.0,2,13,45.18027210884354,16.0,6.0,528.4285714285714
