Drug,Mean,Median,StandardDev,Maximum,Minimum
Lucentis,75.58320007770007,77.53846153846153,11.11318703698427,92.2,35.0
Eylea,65.5360759020924,70.0,14.689248212824387,87.6,35.0
Multiple,71.63809066982023,74.5,11.315001574194477,89.58823529411765,36.72727272727273
